crop,N,P,K,ph,region,fertilizer
Wheat,80,22,142,4.28694153039622,Gujarat,SSP
Cotton,49,6,106,8.77948769626595,Maharashtra,Urea
Soybean,86,124,78,6.013538646876451,WB,Compost
Barley,46,58,131,6.082385961273321,TN,Ammonium Sulphate
Barley,0,101,143,4.641714096412771,Maharashtra,SSP
Barley,124,77,120,6.663341069646498,WB,Urea
Sugarcane,137,96,12,8.896104985640587,Haryana,Ammonium Sulphate
Soybean,135,12,72,5.265127394912589,WB,SSP
Rice,105,104,150,5.5666811099851925,WB,SSP
Cotton,124,43,132,5.181072563402063,Haryana,SSP
Barley,18,140,126,8.332927923343242,Bihar,Ammonium Sulphate
Maize,71,110,7,6.376049669855186,MP,Compost
Soybean,128,54,112,8.117617442127017,WB,Compost
Sugarcane,23,87,147,8.250434218576526,MP,Ammonium Sulphate
Soybean,83,31,192,7.745448355661058,TN,Compost
Cotton,119,81,132,5.30522086130631,TN,SSP
Sugarcane,68,42,124,4.176318506904614,Bihar,SSP
Cotton,105,25,204,4.716446927433949,AP,SSP
Soybean,68,49,59,7.484748238431193,UP,Compost
Rice,10,34,74,7.702750685544207,MP,Urea
Cotton,102,99,125,7.831883532387472,Haryana,SSP
Sugarcane,12,56,104,5.219846453923527,UP,SSP
Sugarcane,0,110,36,4.765180059681459,MP,SSP
Cotton,1,45,10,8.615307490307293,TN,MOP
Jowar,108,85,148,7.3210579593211635,MP,Urea
Soybean,3,28,198,7.709814008329589,Punjab,Compost
Jowar,56,107,20,4.469524524253337,Haryana,SSP
Groundnut,112,6,18,6.062294164986124,WB,Compost
Soybean,22,64,66,4.316539483778467,Haryana,SSP
Cotton,123,55,150,7.288758631539961,UP,SSP
Wheat,116,133,12,6.446791396670394,Gujarat,Urea
Cotton,129,95,137,6.257319599088939,UP,Urea
Jowar,86,105,92,8.514536677006848,AP,DAP
Rice,124,118,45,7.700593021328844,WB,NPK
Cotton,110,10,115,8.821266140173108,Punjab,DAP
Cotton,6,58,63,4.231346779937392,AP,SSP
Rice,43,31,13,7.078387763440717,UP,NPK
Cotton,112,84,46,7.151085952278876,Bihar,MOP
Barley,3,67,22,4.132715679280931,WB,SSP
Wheat,117,103,50,7.935405188509501,UP,SSP
Maize,22,95,127,4.768074424422867,AP,SSP
Wheat,89,39,180,7.5063601536908795,AP,NPK
Cotton,91,62,32,4.18911970649097,TN,MOP
Barley,50,40,41,7.068437227525923,Maharashtra,NPK
Soybean,114,106,78,6.603903983616976,Haryana,Compost
Cotton,80,96,24,6.41638474703207,AP,MOP
Jowar,102,60,170,5.833326828469258,Gujarat,SSP
Barley,79,71,173,6.101189696926235,Haryana,Compost
Rice,102,61,116,6.384471388133798,TN,NPK
Barley,8,35,128,5.488447552084969,Haryana,SSP
Rice,32,135,194,8.676444304598323,WB,Ammonium Sulphate
Groundnut,34,56,152,8.825007855480887,UP,Compost
Maize,49,109,155,5.499514061452765,Punjab,SSP
Bajra,23,115,54,7.893458695464327,AP,Ammonium Sulphate
Barley,38,96,137,7.758094087390331,WB,DAP
Sugarcane,24,41,192,8.377912019867455,UP,Ammonium Sulphate
Jowar,31,121,77,4.019228868023803,Punjab,SSP
Cotton,138,71,47,5.690589973754587,Gujarat,MOP
Jowar,107,53,130,4.724939046733406,MP,SSP
Wheat,32,32,109,5.954291264315886,Bihar,Urea
Bajra,106,36,40,6.878140515794806,UP,NPK
Wheat,110,103,105,8.544244579763605,Bihar,SSP
Groundnut,120,75,7,8.198070198804785,Punjab,Compost
Bajra,15,36,193,6.49511185504818,WB,SSP
Bajra,10,140,186,4.117510620743807,Haryana,SSP
Wheat,97,72,40,5.504468101328767,Bihar,SSP
Rice,115,74,116,4.533050423428259,Gujarat,SSP
Wheat,24,52,49,7.2531653332465424,Haryana,Urea
Jowar,92,100,104,7.477140895752425,AP,Vermicompost
Rice,110,112,161,7.244012238604057,UP,DAP
Jowar,95,50,158,5.3735848417199,Punjab,SSP
Groundnut,11,71,140,8.597543597427691,Maharashtra,Compost
Cotton,20,33,77,6.9425312326675686,AP,Vermicompost
Soybean,126,87,154,6.98624337425525,WB,Compost
Rice,28,142,73,8.077786575155457,Maharashtra,Compost
Groundnut,120,75,176,4.346223308684054,Bihar,SSP
Sugarcane,123,69,173,5.048039034886068,AP,SSP
Groundnut,32,26,168,6.947907296654418,Gujarat,Compost
Wheat,135,104,162,7.052164016390059,MP,Urea
Wheat,76,18,53,6.33382722736987,WB,Compost
Soybean,40,10,113,7.899692083556053,Haryana,Compost
Groundnut,73,51,123,5.728117251690396,TN,SSP
Maize,62,38,21,4.056169507930825,AP,SSP
Cotton,13,5,162,5.699796392794971,MP,SSP
Wheat,74,12,128,8.829402270823529,WB,Vermicompost
Soybean,66,26,8,7.895178056861035,Punjab,Compost
Cotton,92,72,167,5.591257681063762,Bihar,SSP
Groundnut,52,38,88,5.112246897003999,Haryana,SSP
Groundnut,93,41,149,8.051340094455467,Haryana,Compost
Bajra,112,125,139,4.999488543615665,Haryana,SSP
Soybean,134,27,107,6.900991352284743,Haryana,Compost
Wheat,10,88,121,6.539802656218256,Bihar,Urea
Maize,24,121,66,6.113345608827238,MP,Ammonium Sulphate
Groundnut,82,28,62,6.129806821455462,Punjab,Compost
Maize,92,73,176,7.511804082394009,Maharashtra,DAP
Groundnut,138,84,62,4.514184971938966,UP,SSP
Wheat,54,64,185,5.976129171337517,AP,SSP
Cotton,18,42,110,8.841906612616043,Haryana,Vermicompost
Barley,91,81,76,7.8907972016479615,AP,SSP
Cotton,89,89,141,4.105165344934621,Maharashtra,SSP
Groundnut,10,133,10,6.235282074695467,Bihar,Compost
Jowar,59,8,23,4.585970892501946,Gujarat,SSP
Barley,40,118,90,6.423561340141546,Maharashtra,DAP
Barley,129,84,115,4.517915463373882,Maharashtra,SSP
Maize,106,113,152,5.946072184698096,MP,SSP
Soybean,59,35,68,6.724979073591711,Punjab,Compost
Maize,21,132,159,5.836543524517021,Haryana,SSP
Maize,127,83,139,6.892879764802602,AP,DAP
Jowar,125,9,122,8.925240913016964,TN,DAP
Cotton,102,131,28,5.228933176994442,MP,MOP
Cotton,131,90,127,6.8225396972996215,AP,DAP
Sugarcane,109,90,12,6.356624968641013,Gujarat,Ammonium Sulphate
Groundnut,57,143,71,8.046321869380314,Maharashtra,Compost
Jowar,64,28,15,5.574410919336705,Punjab,SSP
Sugarcane,57,49,104,7.190072201709546,Maharashtra,Ammonium Sulphate
Wheat,75,115,70,7.464792389670242,WB,Compost
Groundnut,18,38,133,8.878300191303895,Punjab,Compost
Groundnut,127,143,11,4.756323653287134,TN,SSP
Bajra,103,126,28,8.99145372855941,Maharashtra,Ammonium Sulphate
Bajra,106,113,144,7.606048339801637,AP,MOP
Rice,117,27,67,6.281690103720214,AP,DAP
Rice,78,33,76,5.317816174003733,TN,SSP
Maize,83,10,145,7.1435097600610185,Punjab,DAP
Wheat,117,56,202,4.708964957652427,Maharashtra,SSP
Barley,9,93,92,8.733890074287713,TN,Compost
Barley,29,93,120,4.922125690466859,AP,SSP
Bajra,23,126,28,7.871517085023732,MP,Compost
Bajra,54,21,42,5.725732286661385,Bihar,SSP
Bajra,103,32,203,5.079227870993614,TN,SSP
Jowar,126,13,14,8.04332609659116,Bihar,Ammonium Sulphate
Soybean,124,119,162,8.439186058717521,TN,Compost
Rice,92,128,92,4.028105595831595,Punjab,SSP
Jowar,7,8,31,8.870757483747457,Gujarat,Ammonium Sulphate
Cotton,137,40,34,6.109595896530924,TN,MOP
Barley,74,138,132,4.480382642963021,Gujarat,SSP
Groundnut,39,69,121,6.2662263280467805,TN,Compost
Rice,139,7,6,4.592840356830044,Maharashtra,DAP
Sugarcane,84,41,12,5.293907404020455,WB,SSP
Cotton,15,113,149,6.787553110985976,Maharashtra,DAP
Rice,77,7,52,5.795987304875156,MP,DAP
Jowar,47,60,68,5.139220523891071,WB,SSP
Wheat,90,65,193,4.982412488812064,Haryana,SSP
Groundnut,128,72,145,7.182946357776387,UP,Compost
Rice,21,83,153,8.548445579137532,MP,Compost
Soybean,13,75,111,4.2821254740138,UP,SSP
Bajra,72,115,134,5.221126232564762,TN,SSP
Bajra,18,27,131,7.327045187630991,MP,DAP
Groundnut,39,18,88,8.936740127305487,Gujarat,Compost
Jowar,97,138,155,7.406747430836954,Punjab,SSP
Bajra,3,37,20,4.263118941796649,AP,SSP
Rice,32,13,145,4.894316942290617,MP,DAP
Sugarcane,42,144,136,5.738333212999655,TN,SSP
Barley,26,121,6,4.78701387174906,TN,SSP
Barley,80,99,118,4.911382006467123,TN,SSP
Cotton,112,7,69,5.368270952944264,TN,SSP
Maize,116,50,30,5.8638799167253595,WB,SSP
Wheat,123,40,34,5.959222324691547,TN,SSP
Groundnut,94,17,122,6.496885648819266,WB,Compost
Cotton,62,89,42,8.641179106229997,AP,MOP
Maize,133,47,152,8.966746162807123,Haryana,NPK
Jowar,123,132,29,4.098571678277287,MP,SSP
Soybean,115,51,129,6.468842386915416,MP,Compost
Soybean,94,23,56,7.760403269185426,MP,Compost
Wheat,66,87,87,4.3664742285023515,UP,SSP
Bajra,96,101,95,8.705941945456367,Punjab,Urea
Rice,115,103,142,8.68855598649206,Maharashtra,Compost
Cotton,12,33,173,5.0419644639697,Bihar,SSP
Cotton,63,132,65,7.928726749828204,UP,NPK
Groundnut,84,76,115,6.907329354533813,WB,Compost
Groundnut,55,69,6,4.169500109593303,Maharashtra,SSP
Soybean,131,42,85,5.486511604267475,MP,SSP
Soybean,111,128,139,5.316879390662253,TN,SSP
Sugarcane,32,98,64,8.398591045898415,MP,Ammonium Sulphate
Sugarcane,52,37,193,8.487503965062857,TN,Ammonium Sulphate
Bajra,100,17,84,4.172334851549044,UP,SSP
Sugarcane,88,105,117,7.70705853011304,WB,Ammonium Sulphate
Rice,28,131,31,4.599266408369012,WB,SSP
Rice,50,81,5,7.954619178734152,Punjab,MOP
Cotton,49,125,90,8.228052458225662,Punjab,MOP
Barley,110,53,159,4.296248975278517,Haryana,SSP
Rice,35,114,84,5.631301947399663,MP,SSP
Maize,108,139,64,5.898471808918246,Haryana,SSP
Soybean,59,40,57,8.775743119552796,Gujarat,Compost
Groundnut,19,97,40,5.854594519364135,Gujarat,SSP
Sugarcane,132,28,156,5.279984428203601,Bihar,SSP
Cotton,123,85,39,7.098487792999474,Haryana,MOP
Wheat,0,102,37,4.794466943855205,AP,Urea
Groundnut,18,109,149,7.125426927650006,Maharashtra,Compost
Maize,86,9,73,6.292872756878271,UP,Ammonium Sulphate
Sugarcane,28,133,167,7.6571945222191085,Haryana,Ammonium Sulphate
Maize,58,75,111,6.894101655310571,TN,SSP
Soybean,62,126,179,4.88291236695958,Punjab,SSP
Soybean,97,7,102,8.686884106332878,Maharashtra,Compost
Bajra,47,40,100,6.243904756717816,WB,Compost
Cotton,61,125,93,7.722809545982244,TN,SSP
Groundnut,17,144,63,6.65970803278553,WB,Compost
Jowar,26,19,65,8.326357378225076,MP,MOP
Jowar,5,136,154,5.685126778364176,Haryana,SSP
Groundnut,5,20,31,7.1943185523019135,Maharashtra,Compost
Wheat,30,138,204,4.396931252470867,Gujarat,Urea
Cotton,104,67,116,4.388699652706792,WB,SSP
Maize,93,27,94,8.217688779306542,Maharashtra,SSP
Wheat,55,81,19,8.09188563387904,MP,Vermicompost
Barley,17,5,168,5.796466953668501,WB,SSP
Groundnut,86,80,113,7.380068701159296,Gujarat,Compost
Maize,22,31,189,8.144924321601646,Maharashtra,DAP
Jowar,24,29,45,4.719270993689256,Maharashtra,SSP
Rice,6,90,177,8.923683703846265,Haryana,Urea
Bajra,132,66,175,8.429258040324289,Haryana,DAP
Jowar,17,97,16,7.454579880246402,Maharashtra,Ammonium Sulphate
Cotton,105,34,200,6.716143129020297,Punjab,NPK
Soybean,32,88,199,8.474630879831818,AP,Compost
Rice,78,129,100,7.696659675940384,TN,Vermicompost
Bajra,34,38,8,6.923581090900787,AP,Ammonium Sulphate
Bajra,109,8,197,8.457944582008494,Gujarat,NPK
Barley,64,35,123,5.053097544346333,Maharashtra,SSP
Barley,62,55,9,5.221872578136262,Gujarat,SSP
Sugarcane,71,54,134,8.650561696139238,Punjab,Ammonium Sulphate
Jowar,40,18,50,4.3354823913658525,AP,SSP
Jowar,127,12,79,4.230794161821004,Haryana,SSP
Jowar,107,105,130,7.9597107379971686,MP,Compost
Sugarcane,103,73,141,6.0699837380978465,Punjab,Ammonium Sulphate
Wheat,37,140,140,8.581278704236023,Punjab,Urea
Bajra,34,143,62,5.503448535751837,Bihar,SSP
Rice,135,33,107,5.436159156732413,Maharashtra,SSP
Cotton,101,68,67,8.786084492263154,TN,NPK
Bajra,67,53,193,6.768838847692284,UP,Vermicompost
Barley,36,23,147,7.068543570319788,Haryana,MOP
Maize,84,131,77,8.49038682774681,Haryana,Compost
Soybean,28,87,174,5.904098417346315,AP,SSP
Sugarcane,40,100,182,5.239306942589254,TN,SSP
Groundnut,55,119,98,6.855360723397601,AP,Compost
Maize,15,107,183,6.05010872056171,UP,NPK
Cotton,139,121,157,4.817951343441497,Gujarat,SSP
Jowar,65,82,154,4.593005271011689,Gujarat,SSP
Barley,68,75,26,7.627293692026899,AP,SSP
Barley,22,24,98,4.17101979263823,Gujarat,SSP
Barley,52,100,121,6.637714979846196,Maharashtra,Vermicompost
Jowar,119,114,78,5.648242577368877,Maharashtra,SSP
Groundnut,127,99,201,4.75454487748975,TN,SSP
Sugarcane,48,90,201,8.453334224670591,AP,Ammonium Sulphate
Maize,12,137,198,7.702705714191216,Punjab,Urea
Jowar,107,99,68,7.865494267717938,WB,DAP
Cotton,84,83,154,6.179439192363775,Maharashtra,Ammonium Sulphate
Sugarcane,44,41,145,7.241736813230375,Bihar,Ammonium Sulphate
Cotton,81,23,159,4.452716065436685,UP,SSP
Sugarcane,67,142,51,4.696382135908456,Punjab,SSP
Groundnut,96,48,95,5.612844444070995,AP,SSP
Soybean,76,93,25,6.288880236887672,UP,Compost
Cotton,34,41,35,4.469094033972863,WB,MOP
Jowar,135,62,125,6.824870803665978,Maharashtra,Vermicompost
Sugarcane,51,132,42,5.199012838757342,Haryana,SSP
Barley,39,47,43,7.872790017800959,Haryana,DAP
Bajra,120,52,168,4.002345948987591,UP,SSP
Barley,112,60,104,8.33039236604633,UP,NPK
Wheat,110,115,197,7.662895826511968,Haryana,Vermicompost
Soybean,35,36,15,6.7308621951125325,AP,Compost
Soybean,133,58,73,7.687668009818941,Punjab,Compost
Barley,69,65,38,5.822899220044911,UP,SSP
Maize,72,114,9,4.812931121346663,Punjab,SSP
Groundnut,15,115,24,4.045556832054203,MP,SSP
Cotton,37,104,67,6.742776101400551,Punjab,Ammonium Sulphate
Jowar,17,73,49,5.459712228231439,Punjab,SSP
Soybean,11,142,174,5.063445956231731,MP,SSP
Barley,53,6,17,8.335048631694228,Maharashtra,Ammonium Sulphate
Barley,0,116,141,7.625838966315935,Maharashtra,Ammonium Sulphate
Groundnut,110,103,137,8.950877746792901,MP,Compost
Groundnut,20,107,170,7.307823499211021,WB,Compost
Rice,128,16,98,8.476830919779513,AP,DAP
Rice,92,129,181,4.591680532025578,Haryana,SSP
Maize,139,49,96,7.613814058019379,TN,Urea
Maize,123,11,105,4.431122287823839,Bihar,SSP
Wheat,38,71,160,4.472852358367718,Maharashtra,Urea
Maize,59,74,125,8.289177410973936,Punjab,Urea
Sugarcane,96,101,128,5.800426332243777,MP,SSP
Groundnut,103,57,175,5.582162522547563,WB,SSP
Jowar,138,97,202,4.918915323051419,Maharashtra,SSP
Sugarcane,109,62,173,6.424712605969317,Haryana,Ammonium Sulphate
Cotton,28,73,176,5.01791311560312,WB,SSP
Barley,88,51,161,6.689237801095438,TN,SSP
Maize,118,47,72,7.302190353216531,TN,DAP
Barley,50,66,29,7.274556010611605,UP,MOP
Soybean,107,59,200,5.823248060353437,Maharashtra,SSP
Wheat,57,111,18,7.520189067279416,Punjab,NPK
Soybean,35,53,191,5.330420049942019,MP,SSP
Wheat,27,110,66,8.038405871838314,Bihar,Urea
Rice,130,82,149,4.000575546285501,TN,SSP
Barley,100,123,121,8.83282556325671,UP,Urea
Wheat,106,32,151,6.1678660274894375,TN,NPK
Bajra,88,61,161,5.669979354033944,Bihar,SSP
Sugarcane,34,124,104,7.122411872599038,UP,Ammonium Sulphate
Wheat,92,124,70,8.395485824063126,Haryana,SSP
Wheat,104,8,49,5.762856484454256,TN,SSP
Sugarcane,75,24,75,4.3502126961399235,Maharashtra,SSP
Barley,83,121,32,5.769167660399467,Maharashtra,SSP
Barley,75,93,63,4.0254333464498915,Haryana,SSP
Sugarcane,49,57,186,4.92521076451621,AP,SSP
Soybean,99,43,12,4.260037781671744,Bihar,SSP
Bajra,71,57,14,5.937926624043953,Gujarat,SSP
Jowar,114,125,25,4.298745846149785,Maharashtra,SSP
Cotton,76,90,39,8.919630417868174,TN,MOP
Bajra,120,103,8,7.909580764855022,AP,Urea
Barley,53,122,185,6.097666664042094,TN,Vermicompost
Jowar,70,96,89,7.95211015896132,WB,Vermicompost
Rice,84,142,29,6.08680900212248,Punjab,NPK
Maize,101,117,24,7.235407619324302,Punjab,Compost
Wheat,106,87,203,8.107580581976764,MP,Urea
Sugarcane,27,69,203,7.4220124437701,Haryana,Ammonium Sulphate
Sugarcane,107,5,100,4.422554213190826,TN,SSP
Wheat,20,134,100,4.217427854207404,MP,Urea
Maize,26,32,131,6.849524657155229,Bihar,Compost
Cotton,76,88,26,4.982142861059673,Haryana,MOP
Maize,49,32,53,8.920465151004947,TN,Compost
Jowar,56,128,93,4.08147097663297,AP,SSP
Maize,118,35,10,7.742630127817124,WB,MOP
Jowar,63,139,183,4.212216924583112,WB,SSP
Maize,47,76,159,7.054362579510294,AP,Compost
Cotton,3,52,150,6.100218348311993,Gujarat,Ammonium Sulphate
Cotton,130,30,16,7.16411603883855,Gujarat,MOP
Barley,60,93,32,7.809791954689272,WB,Compost
Wheat,95,139,23,4.1660020808770515,Gujarat,SSP
Cotton,3,109,47,6.606302852492903,WB,MOP
Jowar,64,61,103,8.711698876487937,Maharashtra,Compost
Cotton,139,119,147,5.088916217564488,TN,SSP
Barley,123,124,201,4.387341723394249,MP,SSP
Sugarcane,92,5,40,7.854825042125812,Bihar,Ammonium Sulphate
Jowar,30,86,101,7.707208952923212,Maharashtra,Urea
Barley,70,33,89,5.950772517523303,WB,SSP
Soybean,1,18,46,8.151236036732968,Bihar,Compost
Soybean,49,134,95,6.71950545272997,Bihar,Compost
Rice,134,75,130,6.376801490285959,Gujarat,Vermicompost
Maize,7,129,49,8.109276318999594,Gujarat,Vermicompost
Wheat,54,83,34,4.4906996173243,Maharashtra,SSP
Groundnut,42,111,43,5.119499301940246,Gujarat,SSP
Bajra,29,102,178,6.220678173198873,TN,Urea
Barley,58,22,190,4.427165380067477,Maharashtra,SSP
Sugarcane,8,50,34,8.979357963401942,AP,Ammonium Sulphate
Bajra,67,86,113,5.567655003910436,MP,SSP
Sugarcane,80,127,188,8.73872276241617,WB,Ammonium Sulphate
Bajra,138,102,92,6.372258047495254,Bihar,SSP
Barley,122,50,186,8.622592792334142,MP,DAP
Groundnut,129,107,90,6.19992463808075,Haryana,Compost
Bajra,22,41,41,8.073623083262806,TN,MOP
Barley,21,22,94,7.755493032399139,Bihar,Urea
Cotton,139,108,154,8.734476411164845,Maharashtra,SSP
Groundnut,8,126,101,7.187257702786012,Punjab,Compost
Jowar,89,98,28,5.135425192090965,MP,SSP
Sugarcane,32,104,73,6.70950811398975,Bihar,Ammonium Sulphate
Soybean,88,32,92,4.729373596204198,MP,SSP
Maize,94,19,103,5.674350347838454,Haryana,SSP
Soybean,68,132,126,7.945939687261095,Punjab,Compost
Groundnut,37,47,90,4.06983962894651,TN,SSP
Jowar,138,37,165,7.104320816449675,MP,SSP
Sugarcane,63,134,21,7.464931695403854,AP,Ammonium Sulphate
Jowar,71,12,194,8.498954286465372,AP,MOP
Bajra,19,116,16,7.782330059697667,MP,NPK
Sugarcane,33,37,34,6.014112554319372,AP,Ammonium Sulphate
Bajra,110,94,145,7.827890023009435,MP,SSP
Barley,41,120,10,7.127393746049505,Maharashtra,Vermicompost
Groundnut,135,24,199,6.933754214596046,Bihar,Compost
Barley,65,127,129,4.368713814143326,Punjab,SSP
Rice,20,136,15,6.698412016234412,TN,Vermicompost
Jowar,78,40,132,8.335484550108289,Maharashtra,Ammonium Sulphate
Bajra,69,102,128,6.184254720173508,Gujarat,Vermicompost
Cotton,4,81,64,7.520790034935164,TN,Urea
Barley,66,130,14,8.518689408348427,MP,NPK
Rice,15,43,20,6.6708450042151295,MP,NPK
Wheat,98,75,88,4.44062201374617,MP,SSP
Soybean,72,110,174,4.271245747564724,Haryana,SSP
Sugarcane,34,144,176,7.988521078065788,UP,Ammonium Sulphate
Rice,82,59,151,4.163515672410581,Bihar,SSP
Groundnut,109,122,104,8.994587408623168,MP,Compost
Barley,38,98,19,4.6375444370403685,Punjab,SSP
Groundnut,9,102,89,7.875689677715978,AP,Compost
Soybean,0,13,43,8.338583082775177,MP,Compost
Cotton,5,144,9,5.53214285946998,MP,MOP
Jowar,65,73,90,6.708116024112172,WB,Vermicompost
Jowar,37,87,35,8.761877320785294,Maharashtra,Vermicompost
Groundnut,66,32,160,8.775774511857305,Haryana,Compost
Bajra,99,21,42,8.650559671724265,MP,Compost
Cotton,76,26,184,5.374533437284996,Haryana,SSP
Jowar,34,117,147,4.297716649826386,UP,SSP
Cotton,44,112,23,4.513950093367598,Gujarat,MOP
Rice,67,64,167,4.709383270984392,Maharashtra,SSP
Cotton,16,48,19,7.3583908035783905,TN,MOP
Maize,4,47,118,8.012186569708154,Punjab,Urea
Soybean,56,59,92,4.251628600189553,MP,SSP
Jowar,94,15,179,8.452026507573699,AP,SSP
Cotton,29,59,188,7.736518510948369,MP,DAP
Groundnut,6,133,152,6.651428881692726,Maharashtra,Compost
Wheat,123,12,13,8.949801596398094,Punjab,Vermicompost
Maize,90,85,9,5.325930730737799,Gujarat,SSP
Maize,51,83,143,5.090039174949474,MP,SSP
Bajra,5,69,122,5.674014276523586,WB,SSP
Cotton,108,64,107,6.632603653275958,Maharashtra,DAP
Bajra,94,99,95,5.93418615401656,TN,SSP
Bajra,65,60,6,8.147505491079166,UP,NPK
Wheat,9,132,184,8.472452152184939,Bihar,Urea
Rice,25,126,152,8.83333837384667,WB,Compost
Cotton,132,35,25,8.091255728942222,Punjab,MOP
Barley,67,89,55,7.040562270371838,TN,NPK
Jowar,97,91,162,7.068075993356629,TN,Vermicompost
Bajra,70,130,180,4.932457169464306,UP,SSP
Soybean,49,85,5,5.316061296495935,AP,SSP
Sugarcane,16,26,167,8.986297261907353,Haryana,Ammonium Sulphate
Soybean,10,60,158,5.3064919697577295,MP,SSP
Wheat,52,90,13,6.334367691377448,WB,SSP
Wheat,49,127,117,5.92655033915573,TN,Urea
Groundnut,135,115,172,7.441292256180658,MP,Compost
Rice,123,12,25,5.677483356502081,Punjab,DAP
Jowar,61,66,84,7.414749795879813,WB,Compost
Bajra,75,82,144,8.804009815694586,UP,Vermicompost
Soybean,122,26,41,5.2619333685501,Gujarat,SSP
Sugarcane,89,19,95,5.853385505916139,TN,SSP
Wheat,28,35,75,5.710875656490289,Gujarat,Urea
Wheat,101,91,156,5.501786379936174,TN,SSP
Rice,100,73,182,5.35142433998603,Haryana,SSP
Sugarcane,109,113,186,7.150213407279929,WB,Ammonium Sulphate
Sugarcane,108,85,114,6.740549517759401,AP,Ammonium Sulphate
Rice,28,44,108,6.5433332851898465,Punjab,NPK
Wheat,58,73,113,8.00293740189958,Bihar,Compost
Jowar,69,75,160,4.732651097702092,AP,SSP
Cotton,95,68,8,4.848626709387133,Gujarat,MOP
Cotton,43,12,144,6.565305325832439,Haryana,Compost
Rice,83,75,71,5.768635768802846,Punjab,SSP
Sugarcane,120,90,169,4.8689445151041895,Gujarat,SSP
Bajra,56,48,8,7.453163309703244,MP,Vermicompost
Rice,116,42,19,6.480375175195908,Punjab,Ammonium Sulphate
Jowar,63,121,160,5.011191163083955,Bihar,SSP
Rice,98,8,41,5.322026433443938,AP,DAP
Maize,37,59,141,7.615263299114027,AP,DAP
Soybean,26,97,18,5.6373661110901025,TN,SSP
Sugarcane,16,63,127,5.022592453008075,Bihar,SSP
Groundnut,62,98,199,8.828005295561674,AP,Compost
Groundnut,10,71,115,4.440223437873227,Gujarat,SSP
Sugarcane,63,9,130,4.73457016943834,Bihar,SSP
Jowar,38,87,86,7.586392739945748,WB,MOP
Maize,129,76,54,6.128556424681004,AP,NPK
Maize,114,131,82,7.764656518022263,AP,NPK
Wheat,44,41,29,6.7638903265728745,Haryana,Urea
Soybean,87,31,43,4.201077465240638,Punjab,SSP
Cotton,79,17,30,7.420739682212318,AP,MOP
Barley,8,138,64,8.028816823101918,TN,SSP
Jowar,104,69,56,6.763374352784389,WB,Compost
Barley,124,45,74,5.537796464108779,AP,SSP
Barley,77,19,158,4.077609228352236,TN,SSP
Sugarcane,44,137,52,8.533412119649007,Gujarat,Ammonium Sulphate
Groundnut,107,19,58,7.534898665257951,Gujarat,Compost
Groundnut,98,5,119,4.22398440205903,Gujarat,SSP
Cotton,26,19,173,8.202959080293601,MP,Vermicompost
Sugarcane,39,52,120,4.265305757243432,UP,SSP
Barley,25,76,133,7.557380584659373,MP,Compost
Bajra,82,121,118,7.470335938081105,Gujarat,Urea
Groundnut,25,31,25,8.580740556187699,UP,Compost
Jowar,69,64,114,4.827148468258469,Haryana,SSP
Jowar,66,70,76,6.836356250252004,Punjab,Urea
Wheat,5,56,157,6.723519332636715,MP,Urea
Rice,27,85,22,4.17489609202136,Bihar,SSP
Bajra,12,39,19,7.191538840822965,AP,Urea
Groundnut,62,125,46,5.2701467360549845,WB,SSP
Maize,12,46,24,5.662457834901268,Maharashtra,SSP
Groundnut,128,49,20,5.206769611487305,Maharashtra,SSP
Wheat,39,56,139,4.279615970577293,Bihar,Urea
Jowar,30,33,99,4.833140667758613,MP,SSP
Barley,16,61,97,5.036540259799397,AP,SSP
Maize,136,23,85,6.8866278255168,AP,SSP
Sugarcane,108,12,137,4.674781384472351,Gujarat,SSP
Soybean,63,139,150,8.603569475310469,UP,Compost
Barley,56,143,82,5.158932879781449,AP,SSP
Soybean,24,70,99,7.2587233098601756,Bihar,Compost
Bajra,121,87,150,4.787907165953546,Punjab,SSP
Rice,77,32,68,7.9756634869010385,AP,NPK
Maize,56,93,157,4.35756361632205,WB,SSP
Cotton,70,79,30,7.687966590918281,WB,MOP
Maize,87,44,201,5.965827179728091,Bihar,SSP
Groundnut,112,134,148,6.327596523188509,Bihar,Compost
Jowar,99,80,195,5.831595892500776,WB,SSP
Groundnut,46,80,204,6.01023723745819,TN,Compost
Groundnut,115,118,81,4.026626030731151,Gujarat,SSP
Bajra,130,99,62,4.130746725934767,Punjab,SSP
Barley,89,58,100,7.969681155468274,AP,MOP
Cotton,110,144,159,5.06742508329284,Gujarat,SSP
Cotton,89,6,181,7.0364868470318065,TN,Ammonium Sulphate
Groundnut,128,84,51,7.266627080422312,WB,Compost
Soybean,138,69,75,7.489905946990483,Haryana,Compost
Bajra,134,56,127,6.986708521170053,Bihar,SSP
Groundnut,11,38,182,7.143934107805807,MP,Compost
Rice,105,49,50,6.907523602036999,WB,Vermicompost
Jowar,121,133,12,8.640893311600895,UP,SSP
Barley,52,104,6,7.322926075352126,AP,Vermicompost
Sugarcane,99,56,150,5.764674809886649,Bihar,SSP
Rice,36,71,40,5.783181911160112,Maharashtra,SSP
Soybean,118,102,92,4.398033835333534,MP,SSP
Maize,58,80,123,8.958926391071563,WB,DAP
Maize,53,60,46,8.45382810509218,TN,Ammonium Sulphate
Rice,0,113,106,4.215344497240476,MP,SSP
